,Sample.ID,X.2,X.1,ID,Experimenter,Mic..Plate,Tube.number,Tube.weight,Nest.Site,Date.opened,Date.closed,Sex,Dev.stage,Pollen.Weight,Treatment.Group,Vol..Treatment,X,Plate,sample.date,larval.weight,days.to.maturity,dead.on.exp.day,death.date,died,status,X5.May,X7.May,X10.May,X12.May,X14.May,X17.May,X19.May,X20.May,X21.May,X22.May,X23.May,X24.May,X25.May,X26.May,X27.May,X28.May,X29.May,X30.May,X31.May,X1.Jun,X2.Jun,X3.Jun,X4.Jun,X5.Jun,X6.Jun,X7.Jun,X8.Jun,X9.Jun,X10.Jun,X11.Jun,X12.Jun,X13.Jun,X14.Jun,X15.Jun,X16.Jun,X17.Jun,NOTES,closed.coccoon..y.only.,Treatment,time,mic.plate,date.out.of.fridge,date.emerged,did.not.emerge,date.dead,adult.weight,sex,notes
43,MAB11,228,155,NA,Mark,9,2,4.4,Nathalia,5/7/21,5/3/21,F,fl,0.207,Cap Low,NA,,9,5/26/21,0.1191,23,NA,NA,0,1,,,dl,dl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,23,9,4/12/22,4/16/22,,,0.027,F,
44,MAB110,461,156,NA,Mark,20,12,4.53,Mark,5/13/21,5/12/21,F,e,0.282,Difen High,15.2,,20,5/29/21,0.0902,17,NA,NA,0,1,,,,,hl-damaged?,fl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Difen High,17,20,4/12/22,4/14/22,,,0.016,M,
45,MAB111,462,157,NA,Mark,20,12,4.53,Mark,5/13/21,5/12/21,F,e,0.267,Difen High,14.4,,20,6/1/21,0.088,20,NA,NA,0,1,,,,,hl,fl,dl,dl,dl,,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,20,20,4/12/22,4/16/22,,,0.02,F,
46,MAB113,464,159,NA,Mark,20,12,4.53,Mark,5/13/21,5/12/21,M,e,0.154,Cap Low,8.3,,20,6/1/21,0.0743,20,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,20,20,4/12/22,4/15/22,,,0.017,M,
47,MAB114,465,160,NA,Mark,20,12,4.53,Mark,5/13/21,5/12/21,M,e,0.15,None,NA,,20,5/30/21,0.0765,18,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,,sp,sp,,,,,,,,,,,,,NA,NA,NA,NA,,weighed twice,,None,18,20,4/12/22,4/14/22,,,0.016,M,
48,MAB115,466,161,NA,Mark,20,12,4.53,Mark,5/13/21,5/12/21,M,e,0.159,Cap High,8.4,,20,6/5/21,0.0738,24,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,,,,,,,,sp,,,,,,,,NA,NA,NA,NA,,,,Cap High,24,20,4/12/22,4/14/22,,,0.017,M,
49,MAB116,467,162,NA,Mark,20,12,4.53,Mark,5/13/21,5/12/21,M,e,0.136,Difen High,8.4,OVERDOSED ON ACCIDENT,20,5/29/21,0.0698,17,NA,NA,0,1,,,,,e,fl,fl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Difen High,17,20,4/12/22,,x,,NA,,
50,MAB117,468,163,NA,Mark,20,13,4.53,Mark,5/13/21,5/12/21,F,e,0.282,Cap High,15.2,,20,5/31/21,0.1333,19,NA,NA,0,1,,,,,fl,dl,dl,dl,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,19,20,4/12/22,4/19/22,,,0.033,F,
51,MAB118,469,164,NA,Mark,20,13,4.53,Mark,5/13/21,5/12/21,F,e,0.304,None,NA,,20,5/31/21,0.1673,19,NA,NA,0,1,,,,,hl,fl,dl,dl,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,19,20,4/12/22,4/16/22,,,0.033,F,
52,MAB119,470,165,NA,Mark,20,13,4.53,Mark,5/13/21,5/12/21,M,e,0.183,None,NA,,20,5/29/21,0.092,17,NA,NA,0,1,,,,,hl,fl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,None,17,20,4/12/22,4/14/22,,,0.02,M,
